,location,name
0,images/Bank Nifty down on Monday.png,Bank Nifty down on Monday
1,images/Nifty Gap Up.png,Nifty Gap Up
2,images/VIX rises by more than 2 points on a Monday.webp,VIX rises by more than 2 points on a Monday
3,images/Bank Nifty Down 3 or more days.png,Bank Nifty Down 3 or more days
4,images/Nifty 20 DMA.png,Nifty 20 DMA
5,images/Bank Nifty 20 Day High on preopex.webp,Bank Nifty 20 Day High on preopex
6,images/5 day high Nifty on pre-opex.webp,5 day high Nifty on pre-opex
7,images/Nifty Fin Year.webp,Nifty Fin Year
8,images/5 Day low Bank Nifty on pre-opex.webp,5 Day low Bank Nifty on pre-opex
9,images/Bank Nifty HV(20) & HV(250).webp,Bank Nifty HV(20) & HV(250)
10,images/New Year Nifty.webp,New Year Nifty
11,images/Xmas Anomaly.webp,Xmas Anomaly
12,images/Monday Strangle Bank Nifty.webp,Monday Strangle Bank Nifty
13,images/When Bank Nifty Index is up on a Monday.webp,When Bank Nifty Index is up on a Monday
14,images/Nifty Option path in Q1.webp,Nifty Option path in Q1
15,images/Nifty 1 DOM .webp,Nifty 1 DOM 
16,images/Short CE & Long CE Nifty.webp,Short CE & Long CE Nifty
17,images/BUDGET DAY STRADDLE NIFTY.webp,BUDGET DAY STRADDLE NIFTY
18,images/Bank Nifty up on 1st trading day of the month.webp,Bank Nifty up on 1st trading day of the month
19,images/Nifty TOTM Variant.webp,Nifty TOTM Variant
20,images/Bank Nifty up on Monday.webp,Bank Nifty up on Monday
21,images/When Bank Nifty Down on Friday.webp,When Bank Nifty Down on Friday
22,images/Bank Nifty 1 Std. Dev and HV.png,Bank Nifty 1 Std
23,images/Bank Nifty least in the 5 days on Friday.webp,Bank Nifty least in the 5 days on Friday
24,images/When Nifty is up by more than 1% on the first day of the new opex series.webp,When Nifty is up by more than 1% on the first day of the new opex series
25,images/Bank Nifty FOMC.webp,Bank Nifty FOMC
26,images/Bank Nifty weekly Strangle Post RBI.webp,Bank Nifty weekly Strangle Post RBI
27,images/November December Nifty.webp,November December Nifty
28,images/long weekend.webp,long weekend
29,images/Bank Nifty HV(20) < HV(250) v2.webp,Bank Nifty HV(20) < HV(250) v2
30,images/Jul Anomaly Nifty.webp,Jul Anomaly Nifty
31,images/BUDGET DAY STRANGLE NIFTY.webp,BUDGET DAY STRANGLE NIFTY
32,images/Bank Nifty on 10 Day Low on Pre-opex.webp,Bank Nifty on 10 Day Low on Pre-opex
33,images/VIX and Nifty up for 2 days in row.webp,VIX and Nifty up for 2 days in row
34,images/Bank NIfty 10 day low with 20 Delta.webp,Bank NIfty 10 day low with 20 Delta
35,images/Bank Nifty Lower Bollinger Band.png,Bank Nifty Lower Bollinger Band
36,images/When Bank Nifty Index is up on a Tuesday.webp,When Bank Nifty Index is up on a Tuesday
37,images/250 Day High Bank Nifty.webp,250 Day High Bank Nifty
38,images/Nifty Diwali Year End.webp,Nifty Diwali Year End
39,"images/Short Bank Nifty ATM PE , when Bank Nifty closes at 20 day highest close.png","Short Bank Nifty ATM PE , when Bank Nifty closes at 20 day highest close"
40,images/Nifty TOTM Option Trade Idea.webp,Nifty TOTM Option Trade Idea
41,images/Bank Nifty down for 2 days Strangle.webp,Bank Nifty down for 2 days Strangle
42,images/35 Calendar Days or more Nifty.webp,35 Calendar Days or more Nifty
43,images/Bank Nifty TOTM.webp,Bank Nifty TOTM
44,images/Bank Nifty 2 Std. Dev.png,Bank Nifty 2 Std
45,images/Bank Nifty CPI Data.webp,Bank Nifty CPI Data
